Original_Dialect,MSA_conversion
ربي ارحم شهداء العراق . ربي احفظ بلدي,حفظ الله العراق، وارحم شهداءه. احفظ بلدي يا رب.
وطنه ياناس نشيله على الرأس,نحن نحمل وطننا على رؤوسنا يا ناس.
كلام جميل,كلام جميل.
ما احلى صوتك,ما أجمل صوتك.
اعادة الله علينا بالخير بعيدا عن الوباء وان يحفضنا بالخير والرزق والأيمان,أعاد الله علينا الخير والبركة، بعيدا عن الوباء، ورزقنا بالخير والرزق والإيمان.
جمعة مباركة على الجميع بالخير والسلام,جمعة مباركة للجميع بالخير والسلام.
جمعة مباركة . اللهم ارحم شهداء العراق العظيم,جمعة مباركة. اللهم ارحم شهداء العراق العظيم.
دور المرأة العراقية في المظاهرات السلمية في هو بداية عراق جديد لمرأة قوية لها صوت وحرية وداعمة لشباب مثقف و واعي جدا . المرأة العراقية اقف لها احترام دائما,دور المرأة العراقية في المظاهرات السلمية هو بداية عراق جديد لامرأة قوية لها صوت وحرية، وتدعم الشباب المثقف والواعي جدا. أنا أحترم المرأة العراقية دائما.
رحم الله أبي و آبائكم جميعا,رحم الله أبي وآباءكم جميعا.
بارك الله بيك اخوي,بارك الله فيك يا أخي.
بارك الله بيك يا ابن الطيبي,بارك الله فيك يا ابن الطيبي.
شكرا لك ربي يسعدك ويوفقك ويحفظك والنعم فيك ماعليك زود,شكرا لك، جزاك الله خيرا، وأسعدك، وحفظك، والنعم فيك، لا داعي للشكر.
والله والنعم منك استاذ محمد كفو منك بس شتگول للمتصيدين واللي باعو ضميرهم لأجل حفنة من الأموال .. واصل التألق بارك الله بيك,والله والنعم منك أستاذ محمد. أحسنت. لكن ماذا أقول عن هؤلاء الذين يتصيدون في الماء العكر، ويبيعون ضمائرهم من أجل حفنة من المال؟ واصل تألقك، بارك الله فيك.
عفيه بارك الله بيك وجثر من امثالك,أحسنت، بارك الله فيك، وزاد من أمثالك.
لاعاب حلگك بارك الله بيك,أحسنت، بارك الله فيك.
تواضعك و وجودك بيناتنا وسام على صدرنا و تاج على راسنا,تواضعك ووجودك بيننا وسام على صدورنا وتاج على رؤوسنا.
مشكور الحبيب بارك الله بيك,شكرا يا صديقي، بارك الله فيك.
احسنتتت بارك الله بيك ولاياخذك في الله لومة لائم المهم نيتك لله حبيبي ربي يوفقك اكثر واكثر لولا الاعلام ماوصلت لها انت والاعلام هو لبيان مدى مظلومية بعض العوائل العراقية والفقر الذي تعانيه وايصال اصواتهم الى اكبر عدد ممكن من الناس والمسؤولين لعلها تحرك ضمائرهم الميتةربي يوفقك اخي,أحسنت، بارك الله فيك، ولا يأخذك في الله لومة لائم. المهم أن نيتك لله يا أخي. جزاك الله خيرا، وزادك الله من فضله. لولا الإعلام، لما وصلت إلى ما أنت عليه الآن. الإعلام يهدف إلى إظهار معاناة بعض العائلات العراقية والفقر الذي تعاني منه، وإيصال أصواتهم إلى أكبر عدد ممكن من الناس والمسؤولين، عسى أن تتحرك ضمائرهم الميتة. جزاك الله خيرا يا أخي.
انت انسان لازم تفتخر بنفسك في كل دقيقة لان بسببك دنحقق اشياء جميلة وتساعدنا على تجاوز العقبات والعنف من حولنا بارك الله بيك والله يوفقك بجاه شهر رمضان /ضحى من العراق,يا أخي، أنت إنسان يجب أن تفخر بنفسك في كل دقيقة. بسببك، سنحقق أشياء جميلة، ونتجاوز العقبات والعنف من حولنا. بارك الله فيك، وجزاك الله خيرا في هذا الشهر المبارك. ضحى من العراق.
بارك الله بيك بارك الله بيك مليون مره كلامك والله عين الصواب وكلك ذوق وذوقك بلكلام يدل علي اخلاقك العاليه حماك الله ورزقك برزقه ورفع شأنك وين مارحة ومايهمك رياح عفنه تتكلم بكلام يريد بيها البلبله علم السعوديةعلم السعودية,بارك الله فيك، بارك الله فيك مليون مرة. كلامك صحيح، وأخلاقك عالية. حفظك الله ورزقك من فضله، ورفع شأنك أينما ذهبت. لا يهمك هؤلاء الذين يثرثرون من أجل البلبلة.
بارك الله بيك أخونا مالك فخورين بك جداً مبدع ورائع ومن نجاح إلى نجاح قلب أخضرعلم السعوديةباقة أزهار,بارك الله فيك يا أخونا مالك. نحن فخورون بك جدا. أنت مبدع ورائع، ومن نجاح إلى نجاح.
موفقين يااارب درجات تفرحكم ان شاء الله,بالتوفيق يا رب. درجات تفرحكم إن شاء الله.
موفقين يا حلوين والله يسهل عليكم يارب,بالتوفيق يا حلوين. نسأل الله أن ييسر أموركم.
الله يبارك بيك اخ عدنان وهذا المطلوب من اصحاب الضمائر الشريفة املنا بكم,بارك الله فيك يا أخ عدنان. هذا ما نأمل من أصحاب الضمائر الشريفة.
أسال الله لكم راحة القلب وتفريج الكرب وغفران الذنب وراحة البال وتغيير الحال الى احسن حال .......... جمعة مباركة,نسأل الله لكم راحة القلب وتفريج الكرب وغفران الذنب وراحة البال وتغيير الحال إلى أحسن حال. جمعة مباركة.
تحية إجلال وإكبار لمن وهبوا أعمارهم لعيون أبنائهم,تحية إجلال وإكبار لمن وهبوا أعمارهم من أجل أبنائهم.
الف مبروك عموووو سالي الوردة,ألف مبروك يا عم سالي.
مبروك تستاهل,مبروك، تستحق ذلك.
الله يسعده ويوفقه,نسأل الله أن يسعده ويوفقه.
الله يبارك بيك جعلها الله في ميزان حسناتكم انت وعمامة,بارك الله فيك، وجعلها في ميزان حسناتكم أنت وعمامة.
الله يبارك بيك انت اصيل ابن اصلاء رحم الله ذاك الوالد فبذرته حسنة (الف رحمة ونور على قبره,بارك الله فيك، أنت أصيل ابن أصلاء. رحم الله والدك، وزرع الخير في قبره (ألف رحمة ونور على قبره).
الفن والموال العراقي اصوات جميله لاتتعوض لكثير من كبار الفنانين العراقيين خاصه الاصوات القديمة,الفن والموال العراقي أصوات جميلة لا تعوض، خاصة أصوات الفنانين العراقيين القدامى.
العراق يسجل انتاجا قياسيا بمحصول (الرگي) كسر حاجز ال 1000 طن يوميا او مايزيد ،وذلك لاول مره في تاريخ العراق,يحقق العراق إنتاجا قياسيا في محصول الرقي، حيث كسر حاجز 1000 طن يوميا، أو أكثر، وذلك لأول مرة في تاريخ العراق.
لا يولد الإنسان وهو يكره إنسانا آخر بسبب لون الجلد أو الأصل أو الدين ، فالناس يتعلمون الكراهية، وإذا كانوا قادرين على تعلم الكراهية ،فإنهم سيقدرون على تعلم الحب، لأنَّ الحب أكثر قُرباً إلى طبيعة قلب الإنسان,لا يولد الإنسان وهو يكره إنسانا آخر بسبب لون الجلد أو الأصل أو الدين. يتعلم الناس الكراهية، وإذا كانوا قادرين على تعلم الكراهية، فإنهم قادرون على تعلم الحب، لأن الحب أقرب إلى طبيعة قلب الإنسان.
الثقة برب العالمين وان ماكتبه لنا سنراه وهو لطيف بعباده,نثق بالله، وأن ما كتبه الله لنا سنراه، وهو لطيف بعباده.
ارتداء الكمامة والكفوف والاستمرار بالتعقيم الدائم,ارتداء الكمامات والقفازات، والاستمرار في التعقيم الدائم.
التباعد وعدم التجمهر في هذه الايام الحساسة والالتزام بتوصيات منظمة الصحة العالمية ووزارة الصحة ودعم الملاكات الطبية,التباعد، وعدم التجمهر في هذه الأيام الحساسة، والالتزام بتوصيات منظمة الصحة العالمية ووزارة الصحة، ودعم الطواقم الطبية.
لا اني احبك ماحس بيك احساس سوء من طبع الانسان الي يحب ينبه خوفآ على الانسان الاخر قد اكو اني غلط وتنبهني قد تكون انته غلط ونبهك وهاذي مابيها مشكله واني ماريد انته او ابو مزيعيل او غيركم من حسابات المقاومه تترنح او تخرس,أنا أحبك، ولا أشعر نحوك بأي سوء. من طبع الإنسان الذي يحب أن ينبه خوفا على الإنسان الآخر. قد أكون مخطئا، وقد تكون أنت المخطئ. هذا لا يهم. أنا لا أريدك، أو أبو مزيعيل، أو غيركم من حسابات المقاومة، أن تترنحوا أو تسكتوا.
